"gene_symbol","direction"
"ADAMDEC1","up"
"ANKRD22","up"
"ANLN","up"
"ASPM","up"
"ATAD2","up"
"AURKA","up"
"BGN","up"
"BRIP1","up"
"BUB1","up"
"BUB1B","up"
"CCNB1","up"
"CCNB2","up"
"CD274","up"
"CDC6","up"
"CENPF","up"
"COL11A1","up"
"CXCL10","up"
"CXCL11","up"
"CXCL9","up"
"DEPDC1","up"
"DLGAP5","up"
"DTL","up"
"EXO1","up"
"EZH2","up"
"FOXM1","up"
"GBP5","up"
"IFI44L","up"
"IFI6","up"
"IL2RG","up"
"INHBA","up"
"KIAA0101","up"
"KIF11","up"
"KIF14","up"
"KIF20A","up"
"KIF23","up"
"KIF4A","up"
"KPNA2","up"
"MELK","up"
"MKI67","up"
"MMP1","up"
"MMP9","up"
"MX1","up"
"NCAPG","up"
"NCAPH","up"
"NEK2","up"
"NUF2","up"
"OAS3","up"
"PBK","up"
"PLK1","up"
"PRC1","up"
"RSAD2","up"
"SLC7A5","up"
"SMC4","up"
"SPAG5","up"
"STIL","up"
"SULF1","up"
"TDO2","up"
"TOP2A","up"
"TPX2","up"
"TRIM59","up"
"UBE2T","up"
"ABCA6","down"
"ABCA8","down"
"ABCA9","down"
"ACVR1C","down"
"ADH1B","down"
"ADH1C","down"
"ADIPOQ","down"
"AK5","down"
"AKAP12","down"
"AKR1C1","down"
"AKR1C3","down"
"ALDH1A1","down"
"ANGPTL1","down"
"AOC3","down"
"APOD","down"
"BLOC1S1-RDH5","down"
"C7","down"
"CAV1","down"
"CD248","down"
"CFD","down"
"CHRDL1","down"
"CIDEC","down"
"CLDN8","down"
"COL14A1","down"
"CPE","down"
"CRYAB","down"
"CXCL14","down"
"DPT","down"
"EFEMP1","down"
"FABP4","down"
"FHL1","down"
"FMO2","down"
"FXYD1","down"
"G0S2","down"
"GGTA1P","down"
"GHR","down"
"GNG11","down"
"GPAM","down"
"GPC3","down"
"GPD1","down"
"GPX3","down"
"GSTM5","down"
"GYG2","down"
"HBA2","down"
"HBB","down"
"HLF","down"
"HSPB6","down"
"IGF1","down"
"ITGA7","down"
"ITIH5","down"
"ITM2A","down"
"KLHL31","down"
"LEP","down"
"LIFR","down"
"LIPE","down"
"LPL","down"
"LYVE1","down"
"MAMDC2","down"
"MAOA","down"
"MFAP4","down"
"MME","down"
"MTURN","down"
"MYZAP","down"
"NOVA1","down"
"NTRK2","down"
"OGN","down"
"OPRPN","down"
"PALMD","down"
"PAMR1","down"
"PCK1","down"
"PCOLCE2","down"
"PDK4","down"
"PI15","down"
"PIR-FIGF","down"
"PLAC9","down"
"PLIN1","down"
"PLIN4","down"
"PPARG","down"
"PPP1R1A","down"
"PTN","down"
"RBP4","down"
"RBP7","down"
"SAA2","down"
"SCARA5","down"
"SCUBE2","down"
"SDPR","down"
"SEPP1","down"
"SORBS1","down"
"SRPX","down"
"STEAP4","down"
"TAT","down"
"TGFBR3","down"
"THRSP","down"
"TIMP4","down"
"TMTC1","down"
"TNXB","down"
"TSHZ2","down"
